,Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed
0,"Achiuwa, Precious",PF,21,MIA,61,4,12.1,2.0,3.7,.544,0.0,0.0,.000,2.0,3.7,.546,.544,0.9,1.8,.509,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,5.0,TOR,2711280.0,2840160.0,4379527.0,0.0,0.0,0.0,1st Round Pick,5551440.0
1,"Adams, Steven",C,27,NOP,58,58,27.7,3.3,5.3,.614,0.0,0.1,.000,3.3,5.3,.620,.614,1.0,2.3,.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,MEM,17073171.0,17926829.0,0.0,0.0,0.0,0.0,1st Round Pick,35000000.0
2,"Adebayo, Bam",C,23,MIA,64,64,33.5,7.1,12.5,.570,0.0,0.1,.250,7.1,12.4,.573,.571,4.4,5.5,.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,18.7,MIA,28103550.0,30351834.0,32600118.0,34848402.0,37096686.0,0.0,Bird,163000590.0
3,"Aldridge, LaMarcus",C,35,TOT,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,4.2,8.3,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5,BRK,2641691.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2641691.0
4,"Aldridge, LaMarcus",C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7,BRK,2641691.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2641691.0
5,"Aldridge, LaMarcus",C,35,BRK,5,5,26.0,5.0,9.6,.521,0.8,1.0,.800,4.2,8.6,.488,.563,2.0,2.0,1.000,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8,BRK,2641691.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2641691.0
6,"Alexander-Walker, Nickeil",SG,22,NOP,46,13,21.9,4.2,10.0,.419,1.7,4.8,.347,2.5,5.2,.485,.502,1.0,1.4,.727,0.3,2.8,3.1,2.2,1.0,0.5,1.5,1.9,11.0,NOP,3261480.0,5009633.0,0.0,0.0,0.0,0.0,1st Round Pick,8271113.0
7,"Allen, Grayson",SG,25,MEM,50,38,25.2,3.5,8.3,.418,2.1,5.5,.391,1.3,2.8,.471,.547,1.6,1.8,.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6,MIL,4054695.0,9615385.0,10384615.0,0.0,0.0,0.0,1st Round Pick,24054695.0
8,"Allen, Jarrett",C,22,TOT,63,45,29.6,4.7,7.7,.618,0.1,0.3,.316,4.6,7.3,.631,.624,3.2,4.6,.703,3.1,6.9,10.0,1.7,0.5,1.4,1.6,1.5,12.8,CLE,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,0.0,Bird,100000000.0
9,"Allen, Jarrett",C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,CLE,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,0.0,Bird,100000000.0
